label	id	approved	datestart	dateend	name	shortname	hashtag	homepage	presentation form	onlinebanner	city	country	venue	OSM-Link	lat	lon	coclink	Self-description	cfpdate	cfplink	type	tags	EntranceFee	Registration	ParticipantsLastTime	Main language	Main Organiser	Specialties	First Edition	Main Sponsors	Edition’s Topic	Technologies in use	Online Interactivity	Technical Liberties	Timezone	Twitter	Mastodon	Telegram	Git*	Instagram	LinkedIn	Facebook	Youtube	Matrix	Mailinglist	cancelled	replacement	replaces	cancellation_description
Flisol A Coruña			20200926	20200926	Flisol A Coruña 2020			https://flisol2020acoruna.gitlab.io/index.html	online	/img/eventbanners/2020/2020-flisol-a-coruna.png			On the internet					<p>El FLISoL es el evento de difusión de Software Libre más grande en Latinoamérica y está dirigido a todo tipo de público: estudiantes, académicos, empresarios, trabajadores, funcionarios públicos, entusiastas e incluso personas que no poseen mucho conocimiento informático.</p><p>La entrada es gratuita y su principal objetivo es promover el uso del software libre, dando a conocer al público en general su filosofía, alcances, avances y desarrollo.</p>			Community Event	flisol, melisa, bricolabs, amtega, galicia	Zero	no	?	ES	Asociación de usuarios de software libre da Terra de Melide (Melisa) & BricoLabs			Axencia para a Modernización Tecnolóxica de Galicia (Amtega) & Xunta de Galicia 		Youtube, RocketChat, BigBlueButton	To be defined.	To be defined.	UTC+2				https://gitlab.com/flisol2020acoruna										
L1brecon2022			20221115	20221116	L1brecon 2022			https://www.librecon.io	offline	/img/eventbanners/2022/2022-librecon.png 	Bilbao	ES	Palacio Euskalduna	https://www.openstreetmap.org/way/174088299	43.26701	-2.94466	nococ	<p>LIBRECON está organizado por ESLE, la asociación de empresas de tecnologías libres y conocimiento abierto de Euskadi.</p><p>LIBRECON, cuya última edición presencial celebrada también en Bilbao en 2018 congregó a cerca de 1.000 asistentes, llega en un momento de máximo interés en torno a las tecnologías OPEN debido a la pandemia. La transformación digital acelerada por la COVID 19 ha visibilizado la importancia de tener industria propia en sectores estratégicos como lo es la tecnología. Por ello, desde ESLE se impulsa un año más LIBRECON para mostrar soluciones open source en Teletrabajo, Teleeducación, E-commerce y Transformación digital en la administración pública entre otros ámbitos que han experimentado un tsunami en los últimos años y que necesitan de soluciones.</p><p>El evento busca ser el punto de encuentro y referencia para conocer las últimas tendencias en tecnologías abiertas aplicadas a sus ámbitos de trabajo y para intercambiar conocimientos que fomenten el desarrollo de negocios.</p><p>En definitiva, los modelos de trabajo open y las tecnologías abiertas tienen ante sí la oportunidad de posicionarse estratégicamente como solución a una necesidad de innovación tecnológica en un entorno cambiante. Una realidad que se escribe en código abierto.</p>	20220801	https://docs.google.com/forms/d/e/1FAIpQLSdjgNzOJzWL5H9NtqNQI0EJx3Ay2HrRhj3VKa_3CObNJh8_Pw/closedform	Exhibition	else, asolif	Zero		?	ES	ESLE & ASOLIF		2018	Singular, Google	Reinventing Openness				UTC+2	https://mobile.twitter.com/librecon					https://es.linkedin.com/in/librecon	https://www.facebook.com/librecon							
Akademy-es			20201120	20201122	Akademy-es 2020			https://www.kde-espana.org/akademy-es-2020	online			ES	On the internet					<p>Akademy-es es el encuentro anual de desarrolladores, colaboradores y usuarios de KDE en España, que se celebra desde el año 2006 en distintas ciudades del territorio español y con ésta se llegará a la decimoquinta edición.</p><p>Este año Akademy-es 2020 se celebrará en línea aprovechando las tecnologías libres de telecomunicaciones del 20 al 22 de Noviembre</p>	20201018	https://www.kde-espana.org/akademy-es-2020/presenta-tu-charla	Community Event	KDE,	Zero	?	?	ES	KDE España					To be defined.	To be defined.	To be defined.	UTC+2														
Tux-Tage			20221111	20221113	Tux-Tage 2022			https://www.tux-tage.de/	online	/img/eventbanners/2022/2022-tuxtage.png			On the internet					<p>Nach dem Event ist vor dem Event! Wir starten aktuell mit den Vorbereitungen für die Tux-Tage 2022: Eine Veranstaltung mit Vorträgen, Talks, Workshops und mehr angesiedelt in der Welt der Freien Software. Wie im letzten Jahr wird es wieder die Möglichkeit geben, Vorträge zu halten und miteinander ins Gespräch zu kommen.</p><p>Während viele Veranstaltungen in die Präsenz-Form wechseln, wird unsere Veranstaltung weiterhin ausschließlich online stattfinden. Für Networking-Möglichkeiten um miteinander ins Gespräch zu kommen werden wir sorgen. Lasst euch überraschen! Ein Headset und ein Browser reichen voraussichtlich dafür aus.</p><p>Die Call-For-Papers Phase startet wahrscheinlich im August. Du solltest unsere letzten Tux-Tage verpasst haben? Kein Problem! Hier kannst Du alle Aufzeichnungen aus dem letzten Jahr ansehen.</p>	20220930	https://www.tux-tage.de/vortragen/	Community Event	Linux	Zero			DE	Volunteers								UTC+2	https://twitter.com/TuxTage	https://mastodon.online/@tuxtage2020												
GNU Guix Day Conference			20201122	20201122	GNU Guix Day Conference 2020	Guix Days	#Guix Days	https://guix.gnu.org/en/blog/2020/online-guix-day-announce-1/	online	/img/eventbanners/2020/2020-guix-days-online.png			On the internet				http://git.savannah.gnu.org/cgit/guix.git/tree/CODE-OF-CONDUCT	<p>The Guix hackers are very happy to announce the first online Guix Day Conference on Sunday November, 22nd. This conference is open to everyone and will be held entirely online. Want to speak? Submit your proposal!</p><p>Important dates:</p><ul><li>November 6th: Deadline for talks proposal.</li><li>November 14th: Deadline for releasing your pre-recorded talks.</li><li>November 16th: Release of the schedule.</li><li>November 22nd: Conference day!</li></ul><p>The agenda of the day is:</p><ul><li>pre-recorded talks with live question and answer sessions</li><li>birds of a feather (BoF) sessions</li><li>lightning round talks, if possible</li><li>hack together</li></ul><p>There will be no presentation on the 22nd! And no registration fee.</p>	20201106	https://guix.gnu.org/en/blog/2020/online-guix-day-announce-1/	Project Event	Guix, GNU, scheme, distribution	Zero	no	?	EN	Guix Hackers					https://audio-video.gnu.org/, IRC	pre-recorded talks with live question and answer sessions in preparation of an hackathon	Highly FOSS and Free Culture friendly: pre-recorded talks are presented on audio-video.gnu.org, q&a is happening on IRC.															
OSS2021			20210512	20210513	17th International Conference on Open Source Systems			https://www.oss2021.org/	offline		Lahti	FI	LUT University Lahti Campus	https://www.openstreetmap.org/node/1918633172	61.00651	25.65507		<p>The 17th edition of the International Conference on Open Source Systems (OSS 2021), true to the conference traditions, will be a holistic forum on the advances in the theory and practice of FLOSS, for people from very diverse backgrounds. All traditional OSS topics will be covered and welcome (see full list below). In addition, OSS 2021 will have a special focus on large-scale open source, covering topics such as, but not limited to:</p><ul><li>The use of FLOSS in large organizations, including private for-profit corporations, major non-profit organizations, large public administrations, etc.</li><li>The migration to FLOSS from proprietary systems in said large organizations.</li><li>The development and maintenance of very large FLOSS systems, such as individual software products made of multi-million lines of code or entire software ecosystems encompassing tens of thousand components.</li><li>The study and analysis of very large FLOSS systems, as defined above, focusing on traits such as evolution, quality, and health, of both the systems themselves and the associated communities.</li><li>Wide-area collaboration and peer production using FLOSS and/or aimed at developing them. Due to the ongoing COVID-19 pandemic, experience reports about how FLOSS systems have enabled remote work, remote conferences, or remote collaboration will be particularly welcome.</li></ul><p>OSS 2021 will bring together people from industry and academia to share experiences and ideas as well as to provide an archival source for scholarly papers on FLOSS topics. The conference will also inform and educate practitioners, identify directions for further research, and offer a platform for ongoing technology transfer.</p>	20210103	https://www.oss2021.org/track/oss-2021-papers	Science Event	foss,floss	?			EN																							
May Contain Hackers			20220722	20220726	May Contain Hackers	MCH2022	#MCH2022	https://mch2022.org/	offline	/img/eventbanners/2021/2021-may-contain-hackers.png	Zeewolde	NL	Scoutinglandgoed Zeewolde	https://osm.org/go/0E65_AaQ?layers=HN&m=	52.2843	5524		<p>The camp is organized for and by volunteers from and around all facets of the international hacker community. It attracts about 3500 hackers from all around the globe. Knowledge sharing, technological advancement, experimentation, connecting with your hacker peers and of course hacking are some of the core values of this event. During the camp there are hundreds of talks and activities to participate in.</p><p>MCH2022 is an international non-profit outdoor hacker camp/conference taking place in The Netherlands in 2022 on July 22rd to 26th. It is the successor of a string of similar events happening every four years: GHP, HEU, HIP, HAL, WTH, HAR, OHM and SHA. Similar events are EMF in the UK, CCC Camp in Germany.</p>	20220201	https://conference.mch2022.org/mch2021-2020/cfp	Camping, Community Event		333,33 €	yes	3500	EN	Volunteers	Villages: Any size of community can announce a space for themselves. 	1989							https://twitter.com/MCH2022Camp	https://chaos.social/@mch2022camp												
preCICE2022			20220222	20210225	preCICE Workshop 2021	preCICE2021	#preCICE2021	https://precice.org/precice-workshop-2022.html	online	/img/eventbanners/2021/2021-precice.svg			On the internet					<p>The second workshop of the free simulation coupling library preCICE</p><p>Continuing from the success of the preCICE Workshop of February this year, we are pleased to announce the 2nd preCICE Workshop to be held from the 22nd to 25th of February 2021 online. The workshop in February showed us the diversity of users from across the globe, and we are excited to continue to interact with all users/developers/interested-persons and enthusiasts of preCICE.</p><p>We will once again be including a mixture of talks, including developer and user talks, and hands-on workshop sessions.</p>	20210107	https://www.precice.org/preCICE2021/	Science Event	preCICE, multi-physics simulations, fluid-structure interaction, OpenFOAM, CalculiX, deal.II, FeniCS	50€ (early registration), 100€ (late), possibility for exemption	yes	40	EN	University of Stuttgart		2020 (offline)			BigBlueButton	Q&A, breakout rooms	To be defined.	UTC+1	https://twitter.com/preCICE_org 			https://github.com/precice/										
Univention Summit			20220517	20220518	Univention Summit			https://www.univention-summit.com/		/img/eventbanners/2022/2022-univention-summit.svg	Bremen	DE	Metropol Theater	https://www.openstreetmap.org/way/229201068	53.07845	8.81426		The topic of digital sovereignty for companies, the education sector and public administration is more relevant than ever and more and more projects are starting to make it a reality. At the Univention Summit 2022, well-known drivers and those responsible for digitization will give insights into ongoing and planned projects and the successful use of open source solutions. From Phoenix, Gaia-X and Possible, through the national education area to BILDUNGSLOGIN - so much happens. Also we will focus of course the roadmap of UCS and UCS@school and the presentation of our numerous technology and project partners.			Community Event	Univention, Phoenix,Gaia X	30 Euro	https://www.univention-summit.com/registration/	?	EN	Univention Gmbh								UTC+1														
The EU Open Source Policy Summit	1672926576	yes	20230203	20230203	The EU Open Source Policy Summit 2023			https://summit.openforumeurope.org/	hybrid	/img/eventbanners/2023/2023-policy-summit.png	Brussels	BE	Sparks	https://www.openstreetmap.org/?mlat=50.84545&mlon=4.35910#map=19/50.84545/4.35910	50.84545	4.35910		<p>The EU Open Source Summit 2023 is an online and in-person conference. Taking place the day before FOSDEM in Brussels, it brings together Open Source and policy experts for speeches and panels that will be streamed to a global audience online.</p>			Policy Event		?	https://summit.openforumeurope.org/	While online editions have attracted over 1000 participants, the last in-person edition happened in 2020 and gathered over 130 participants in Brussels.	EN	Open Forum Europe		2015	Eclipse Foundation, RedHat, Suse	Open Source & the Grand Challenges		online chat and onsite participation	To be defined.		https://twitter.com/OpenForumEurope													
MozFest Virtual	1667504124	yes	20230320	20230324	MozFest Virtual			https://www.mozillafestival.org/en/	online				On the internet					<p>MozFest is a unique hybrid: part art, tech and society convening, part maker festival, and the premiere gathering for activists in diverse global movements fighting for a more humane digital world.</p><p>Over the last ten years, MozFest has fueled the movement to ensure the internet benefits humanity, rather than harms it. As the festival matures and moves online for this year, we’ll remain focused in our work to build a healthier internet and more Trustworthy AI. Save the date for MozFest 2021 where the brightest minds and most ambitious ideas from the internet health movement will come together under one roof.</p>			Community Event, Festival	Mozilla	?	yes	More than 3000	EN	Mozilla Foundation																						
MozFest House	1667504423	yes	20230608	20230610	MozFest House			https://www.mozillafestival.org/en/	offline		Amsterdam	NL						<p>MozFest is a unique hybrid: part art, tech and society convening, part maker festival, and the premiere gathering for activists in diverse global movements fighting for a more humane digital world.</p><p>Over the last ten years, MozFest has fueled the movement to ensure the internet benefits humanity, rather than harms it. As the festival matures and moves online for this year, we’ll remain focused in our work to build a healthier internet and more Trustworthy AI. Save the date for MozFest 2021 where the brightest minds and most ambitious ideas from the internet health movement will come together under one roof.</p>			Community Event, Festival	Mozilla	?	yes	More than 3000	EN	Mozilla Foundation																						
Reboot to Respawn			20210402	20210405	Reboot to Respawn (r2r)			https://di.c3voc.de/r2r:start	online	/img/eventbanners/2021/2021-ReboottoRespawn-rocket.png 			On the internet					<p>It is a very dangerous game we’re playing on our planet, and although we seem to realize, at least from time to time, that we’re destroying the planet, we still keep pressing “continue”. The media are only talking about the pandemic and if and when the next vaccinations are due. At the same time the general impression is that if only this pandemic was over then everything would be just fine again. But we know better: The Climate Crisis is looming large, and it’s a much greater danger, for which there will be no vaccination available, whichever way, nor will any simple lockdown help. No, the only thing that will help is a full reboot – politically, economically, socially and culturally. We only have this one planet as our hardware, and our life support is running low.</p><p>To be honest, the argument if we should be doing something about this is concluded. What we need now is to talk about what to do, and when and how to do it. Which brings us to the theme of this Easter time DiVOC “Reboot to Respawn”.</p><p>Accordingly, we’re particularly looking forward to submissions that deal with tangible proposals. We’re talking social themes here, but also traffic and city planning, economy and work, the environment in general and the agroindustrial complex in particular, and which technical solutions we could use to hack them. And that includes, of course, art and cultural aspects, because we’re in need of those, too, so we’re also looking for submissions in this field.</p><p>>And of course we’re still the Chaos, and part of our own culture are submissions on printers on fire, on blinking lights, on toots, tweets, honks and waving cats. Even in the darkest hours of the pandemic we want to have fun with our devices, we want to socialize and hack together and show each other the cool stuff we’ve been doing.</p><p>That goes particularly well with some good music, so give us your proposals and your music lists, so we can relax in the lounge or maybe do some after-work shakin’ …</p><p>So long, and thanks for all the fish.</p>	20210227	https://pretalx.c3voc.de/divoc-reboot-to-respawn-2021/cfp	Community Event, Festival		?	?	?	DE	Chaos Computer Club								UTC+2														
Berlin Buzzwords			20220612	20220614	Berlin Buzzwords	bbuzz	#bbuzz	https://2022.berlinbuzzwords.de/		/img/eventbanners/2022/2022-berlin-buzzwords.png 	Berlin	DE	Kulturbrauerei	https://www.openstreetmap.org/way/32294784	52.53925	13.41381	https://2022.berlinbuzzwords.de/code-conduct	Berlin Buzzwords is Germany's most exciting conference on storing, processing, streaming and searching large amounts of digital data, with a focus on open source software projects.			Community Event		160 Euro	https://2022.berlinbuzzwords.de/registration	?	EN	plain Schwarz UG									https://twitter.com/berlinbuzzwords					https://www.linkedin.com/showcase/berlin-buzzwords								
stackconf	1667258527	yes	20230913	20230914	stackconf			https://stackconf.eu/	offline	/img/eventbanners/2023/2023-stackconf.png	Berlin	DE	NH Berlin Alexanderplatz	https://www.openstreetmap.org/way/29056578	52.52314	13.43796	https://stackconf.eu/code-of-conduct/	stackconf is about open source infrastructure in the spectrum of CI/CD, container, hybrid and cloud solutions. Today businesses have to meet the challenging requirements of an accelerated digital age, with virtual infrastructures and multi-channel platforms as the new normal. Bridging the gap between development, testing and operations is one of the fundamental paradigms in modern IT. stackconf covers these concepts from multiple perspectives.			Business Event		799,00 €	https://stackconf.eu/tickets/	> 100	EN	NETWAYS Event Services GmbH			B1 Systems, NETWAYS Web Services, SMSEagle, GT, Linux Magazin					UTC+2	https://twitter.com/search?q=stackconf													
openSUSE Summit Dublin			20210618	20210620	openSUSE Summit Dublin	openSUSE Summit		https://events.opensuse.org/conferences/oSVC21	online									The openSUSE Conference begins Friday, May 24, at 10 a.m. and will finish on Sunday, May 26. The openSUSE Conference is the annual openSUSE community event that brings people from around the world together to meet and collaborate. The organized talks, workshops, and BoF sessions provide a framework around more casual meet ups and hack sessions. A party here and there provides the time to relax and have fun, making connections on a more personal level.	20210504	https://events.opensuse.org/conferences/oSVC21	Project Event	OpenSUSE,Dublin	?	https://events.opensuse.org/conferences/oSVC21#registration	?	EN	OpenSUSE									https://twitter.com/opensuse													
EuroBSDCon			20220915	20220918	EuroBSDCon			https://2022.eurobsdcon.org/		/img/eventbanners/2022/2022-eurobsdcon.png	Vienna	AT	TU Wien Campus Gußhaus	https://www.openstreetmap.org/relation/2650012	48.19603	16.36992		<p>EuroBSDCon is the European annual technical conference gathering users and developers working on and with 4.4BSD (Berkeley Software Distribution) based operating systems family and related projects.</p><p>This yearly conference gives the exceptional opportunity to learn about the latest news from the BSD world, witness contemporary deployment case studies, and meet personally other users and companies using BSD oriented technologies. EuroBSDCon is also a boiler plate for ideas, discussions and information exchange, which often turn into programming projects.</p><p>The conference has always attracted active programmers, administrators, and researchers, as well as IT companies, which find the conference to be a convenient, inclusive, and quality professional development option for staff.  We firmly believe that education is vital to the future of technology, and hence greatly welcome students and young people to this regular meeting.</p>	20220526	https://2022.eurobsdcon.org/the-call-for-talk-and-presentation-proposals-for-eurobsdcon-2022-is-now-open/	Project Event	BSD	?			EN																			https://lists.eurobsdcon.org/listinfo/announce				
EclipseCon			20221024	20221027	EclipseCon 2022	EclipseCon		https://www.eclipsecon.org/2022		/img/eventbanners/2022/2022-eclipsecon.svg	Ludwigsburg	DE					https://www.eclipse.org/org/documents/Community_Code_of_Conduct.php	EclipseCon is the leading conference for developers, architects, and open source business leaders to learn about Eclipse technologies, share best practices, and more. EclipseCon is our biggest event of the year and connects the Eclipse ecosystem and the industry’s leading minds to explore common challenges and innovate together on open source runtimes, tools, and frameworks for cloud and edge applications, IoT, artificial intelligence, connected vehicles and transportation, digital ledger technologies, and much more.			Project Event	Eclipse				EN	Eclipse Foundation									https://twitter.com/EclipseFdn					https://www.linkedin.com/company/eclipse-foundation	https://www.facebook.com/eclipse.org	https://www.youtube.com/user/EclipseFdn		https://share.hsforms.com/1Af1hwQzgS6GFXaNJfSc9LQ38167				
THX 2021			20210628	20210711	THX 2021	THX 2021		https://ps.zoethical.org/t/invitation-a-thx-2021/4710/2	offline	/img/eventbanners/2021/2021-thx.png 	Ziordia	ES	Amarauna	https://www.openstreetmap.org/way/435184395#map=17/42.87036493420601/-2.2241199016571045	42.8703	-2.2228		<p>THX welcomes us at the intersection of worlds to share our practices of writing for care and creation, small singularities engage the question of collective practices – no technology can replace the word and the attention paid to oneself and to others – and in particular this year those of mycorrhizal alliances: how to compose transversal experiences of perennial mutual aid in spite of divergences and unsurpassable power relationships, in spite of the hiatus between resistant modes of organization and constrained and submissive digital practices, in spite of (or thanks to) the frictions that cross us and the world…</p><p>Les petites singularités - Berezitasun txikiak - invites you to continue the work done last year around Prendre Soin by integrating it into this third techno-landscape that we have been raving about for three years. This is a two-week writing residency[1] with a double objective : to create a publication on the model of Software Freedom Your Way and Prendre Soin, that is to say a 64-page booklet that fits in your pocket, with excerpts of various texts and links to their complete versions and associated online discussions; and then we want to create an object, a hyper-book, which will be published later, with numerous contributions, and in a new format that will allow us to keep an overview of the work, direct access to the references, and allow for a non-linear reading.</p>			Community Event	Prendre Soin	<p>It is necessary to count about twenty euro per day of presence plus the food. Here again, we will create a solidarity fund to facilitate the participation of all. If you have a special diet, please indicate it so that we can adapt the collective kitchen to your needs.</p>	Yes	15	FR	Petites Singularités	<ul><li>Children are welcome and we will be able to take care of them collectively if necessary.</li><li>Due to the uncertainty of the international health situation, we recommend that you follow the information about yourself.</li></ul>	2019		<p>Caught in the web, in love with stars…</p>				UTC+2														
There is no Camp!			20210910	20210912	There is no Camp!	There is no Camp!	#There is no Camp!	https://thereisno.camp/	offline	/img/eventbanners/2021/2021-dc3.png 	Decentralised	DE						<p>Es wird dezentral gecampt werden :) Chaosknoten mit Kabelenden, die in verschiedene Zelte führen #dc3</p><p>Die Idee ist einfach: ein paar Menschen aus dem weiteren Club Umfeld würden gerne campen gehen. Da Cortana Corona dafür gesorgt hat, dass größere Veranstaltungen und Camps auch in diesem Jahr nicht - oder sehr eingeschränkt - stattfinden können, gibt es die Idee, dass einfach alle koordiniert an einem Wochenende Ihre Zelte, Camper und Campingstühle irgendwo für sich aufstellen. Sei es mit Eurer Family im Garten, sei es mit der bevorzugten Infektionsgemeinschaft (aka Knuffelkontakt) auf einem Campingplatz, sei es in der Wildnis irgendwo auf der Welt… Hauptsache Ihr seid draußen und habt Internet :) Dann können wir uns alle virtuell besuchen gehen und am Lagerfeuer via BBB / Jitsi / * zusammensitzen.</p><p>#thereisnocamp </p>			Camping, Community Event	CCC	zero	no	First Edition	DE	Chaos Computer Club	DIY Camp: People can camp wherever they like and participate in the stream	2021		Wir müssen auseinanderhalten!	To be defined.	To be defined.	To be defined.	UTC+2														
Open Source Automation Days			20221004	20221006	Open Source Automation Days 2022	OSAD	#OSAD	https://osad-munich.org/	hybrid	/img/eventbanners/2021/2021-osad.png	Munich	DE						<p>Die jährlichen Open Source Automation Days ist die größte herstellerunabhängige Open Source Konferenz in München. </p><p>Auf den Open Source Automation Days (kurz: OSAD) ist die Automatisierung in Rechenzentren auf Basis von Open Source das zentrale Thema.</p><p>Zwei Tage lang gibt es spannende Vorträge und News zu aktuellen Entwicklungen in diesem Bereich, die Sie mit den anwesenden Entwicklern und dem Fachpublikum diskutieren können.</p><p>An unseren beiden Konferenz-Tagen können Sie zwischen zwei Tracks wählen: Strategie und Technologie.</p><p>Im Strategie-Track finden Sie Themen rund um die Automatisierungslösungen in Unternehmen. Hier finden CTOs, CIOs und andere Entscheider der IT Branche die neuesten Entwicklungen in der Automatisierung von Rechenzentren.</p><p>Der Technologie-Track befasst sich mit neuen Entwicklungen in der Open-Source-Community. Die Themen richten sich insbesondere an Entwickler, System Administratoren und alle anderen Open-Source-Enthusiasten.</p>	20220531	https://osad-munich.org/call-for-papers/	Community Event		590,00 €	https://osad-munich.org/osad-2022-tickets/	?	DE	ATIX		2017						UTC+2														
Practical Open Source Information			20210916	20210916	Practical Open Source Information	POSI	#POSI	https://eventyay.com/e/e7dfbfc4	online				On the Internet					"<p>Open source has grown well beyond ""just the licenses"" and so this series will be a forum for open source practitioners to discuss all the details of implementing open source. Sessions will focus on ""nuts and bolts"" knowledge that organizations of all sizes need whether they’re already using lots of open source or are just getting started on their open source journey.</p><p>The questions we hope to tackle include: How do you get engineering ready for open source? How do you help your lawyers learn about the current legal thinking around open source? What resources are available for open source users and designers? How do we move from casual user to pivotal open source citizen? How does a license choice affect the other aspects of your work?</p>"	20210715	https://eventyay.com/e/e7dfbfc4/cfs	Community Event		zero	https://eventyay.com/e/e7dfbfc4	?	EN	Open Source Initiative		2021																				
MatomoCamp			20221103	20221104	MatomoCamp 2022	MatomoCamp	#MatomoCamp	https://matomocamp.org/	online	/img/eventbanners/2021/2021-MatomoCamp.svg			On the Internet				https://matomocamp.org/code-of-conduct/	"<p>MatomoCamp 2022 is the second edition of the online event that focuses on <a href=""https://matomo.org/"">Matomo Analytics</a>, the most used digital analytics Free software solution.</p>"	open	https://schedule.matomocamp.org/matomocamp-2022/cfp	Project Event	Matomo,Piwik,Data Analytics,Web development	Zero	no		EN	MatomoCamp Team		2021			Wordpress (web instance), Pretalx (Call for Participation),  Matrix, BigBlueButton, Nginx RTMP, phpList, Kdenlive			UTC+1	https://twitter.com/matomocamp	https://mastodon.social/@matomocamp												
Workshop on Sustainable Software Sustainability			20211006	20211008	Workshop on Sustainable Software Sustainability 2021			https://www.eventbrite.co.uk/e/workshop-on-sustainable-software-sustainability-2021-wosss21-wosss21-tickets-165250271009	online				On the Internet				https://www.software.ac.uk/wosss21/participation-guidelines	<p>The Workshop on Sustainable Software Sustainability 2021 (WoSSS21) will be held online from Wednesday 6th October to Friday 8th October 2021. It is the 4th workshop in a series that started in Berlin in 2015. In 2017 and 2019 the event took place in The Hague. Reports on the previous workshops are available here: https://wosss.org</p><p>The overall aim of the series is to bring together participants from a broad range of communities that are interested in how to deal with software sustainability, primarily from the perspective of scholarly and scientific research. WoSSS provides a meeting place to identify and discuss the hurdles and challenges we are facing. After Open Access to publications and FAIR data, software as a research output worthy and in need of preserving and sharing is only recently receiving more attention from policy makers and research funding organisations. With the new Horizon Europe programme just starting, during WoSSS21 we will discuss how we can best organise and support the community and emerging infrastructure for software sustainability. This year we will pay special attention to software as heritage and compare the challenges of sustaining software in the domains of cultural heritage and research.</p><p>WoSSS21 is not only oriented to research software developers, researchers who code, and specialists in digital preservation and research infrastructure, but also to policy makers in open science, research funders, and others who want to learn about the issues at stake and who have something to contribute. This year we especially welcome participants involved in digital heritage.</p>			Science Event	Software Sustainability, Sustainability	Zero	https://www.eventbrite.co.uk/e/workshop-on-sustainable-software-sustainability-2021-wosss21-wosss21-tickets-165250271009	?	EN	WoSSS Partners		2015						UTC+1														
Global Mapping Party			20210808	20210808	Global Mapping Party			https://wiki.openstreetmap.org/wiki/Foundation/Local_Chapters/OSM_17-hour_Global_Mapathon	online	/img/eventbanners/2021/2021-osmapathon.png			On the Internet					<p>To celebrate OSM's 17th anniversary in 2021, the Local Chapters and Communities Working Group of the OpenStreetMap Foundation is organising a 17-hour global mapping party on the 8th of August!</p><p>17 countries/regions from all around the world will come together, with each local community moderating in an one-hour slot within a 17-hour period on August 8, Sunday. We will use the same Big Blue Button room all day and there will be a different country host every hour.</p><p>Anyone is welcome to join any part of the day during the whole duration of the event, whether their local community is hosting or not!</p><p>Don't see your country listed and want to get involved? Please feel free to sign up in an empty slot! If there are not empty slots, please reach out to local@osmfoundation.org and we'll help find a time.</p><p>Join the fun by going to this Big Blue Button Room August 8.</p><p>Thanks for celebrating OpenStreetMap with us and don't forget to use the hashtag #OpenStreetMap17!</p>			Project Event	OpenStreetMap,Hackathon	Zero	no	?	EN	OpenStreetMap Foundation	<p>17 countries/regions from all around the world will come together, with each local community moderating in an one-hour slot within a 17-hour period on August 8, Sunday. We will use the same Big Blue Button room all day and there will be a different country host every hour.</p>				OpenStreetMap, BigBlueButton		"<p><span class=""badge badge--green"">Complete</span></p><p>Users can access all content and fully participate in the online event by using FOSS only and the backend is using FOSS only as well.</p>"															
openSUSE Conference			20220602	20220604	openSUSE Conference			https://events.opensuse.org/conferences/oSC22	offline	/img/eventbanners/2022/2022-openSUSE.png	Nuremberg	DE	Z-Bau	https://www.openstreetmap.org/node/4798465687	49.4301738	11.0946864	https://en.opensuse.org/Code_of_Conduct	The openSUSE Conference 2022 is schedule to take place June 2 to June 4. The openSUSE Conference is the annual openSUSE community event that brings people from around the world together to meet and collaborate. The organized talks, workshops, and BoF sessions provide a framework around more casual meet ups and hack sessions. The call for papers will close on April 14.	20220414	https://events.opensuse.org/conferences/oSC22/program/proposals/new	Project Event		Zero	https://events.opensuse.org/conferences/oSC22/tickets		EN	openSUSE			SUSE, fedora					UTC+1														
